5,29.23,-92.61,38.992,0.06,-230.71,207.26,-66.73,-161.08,445.78,-863.93
5,26.72,-90.42,38.148,0.07,-226.74,209.9,-77.533,685.28,143.68,-1108.6
5,24.574,-88.259,37.225,0.08,-218.43,210.9,-85.593,1274.2,-2.2825,-1019.4
5,22.078,-86.109,36.518,0.09,-209.77,215.71,-92.923,1020.7,303.53,-313.92
5,20.418,-84.103,35.291,0.1,-202.41,217.22,-90.095,571.79,503.39,424.25
5,18.559,-82.11,34.301,0.11,-196.26,221.85,-85.581,386.2,430.56,891.18
5,16.61,-79.448,33.291,0.12,-187.14,222.04,-79.408,643.05,106.38,912.4
5,14.309,-77.312,33.024,0.13,-178.51,216.81,-70.084,1219.1,-936.55,800.71
5,12.663,-74.978,32.239,0.14,-166.48,206.71,-64.821,1685.4,-1706.6,347.06
5,11.195,-72.949,31.502,0.15,-152.53,189.21,-60.983,1558.4,-1840.7,-32.695
5,9.8793,-71.191,30.988,0.16,-137.69,171.6,-63.953,1064.1,-1842.7,-86.38
5,8.4553,-69.712,30.47,0.17,-128.67,154.62,-63.961,712.56,-1659.4,-149.69
5,7.2488,-68.128,29.804,0.18,-120.24,137.44,-64.142,746.1,-1482.3,-131.66
5,6.1416,-66.92,28.955,0.19,-113.13,121.08,-64.599,871.65,-1686.6,16.218
5,4.9386,-65.658,28.373,0.2,-103.05,102.68,-65.703,922.62,-2003.2,93.321
5,3.9934,-64.755,27.783,0.21,-93.91,82.793,-67.303,1024.5,-2061.1,-195.25
5,3.0831,-63.977,27.074,0.22,-85.712,71.878,-70.862,726.04,-816.43,-653.28
5,2.2623,-63.29,26.329,0.23,-78.403,66.233,-78.257,752.52,-342.21,-800.84
5,1.5175,-62.639,25.506,0.24,-70.363,64.481,-86.424,868.57,-33.687,-812.11
5,0.86012,-61.993,24.603,0.25,-60.809,65.085,-94.13,1051.4,132.59,-712.59
5,0.30824,-61.334,23.628,0.26,-49.188,66.737,-100.39,1278.2,180.06,-527.75
5,-0.11565,-60.658,22.602,0.27,-35.175,68.368,-104.49,1526.1,132.15,-283.09
5,-0.38694,-59.969,21.548,0.28,-18.671,69.141,-105.94,1772.4,12.317,-4.1019
5,-0.48118,-59.28,20.493,0.29,0.19226,68.453,-104.54,1994.3,-156.01,283.72
